,NEO_REFERENCE_ID,EST_DIA_IN_M(MIN),EST_DIA_IN_M(MAX),RELATIVE_VELOCITY_KM_PER_SEC,MISS_DIST.(KILOMETERS),PERIHELION_DISTANCE,APHELION_DIST,PERIHELION_TIME,MEAN_ANOMALY,MEAN_MOTION,HAZARDOUS,RISK_CATEGORY
1229,2458116,231.5021222,517.6544822,14.25074524,68245488.0,0.447665605,1.613331723,2458005.229,355.5448415,0.942177924,1,2
1230,3580321,80.27031673,179.4898848,4.058339395,26042342.0,1.150114766,2.601247118,2457732.424,102.8546694,0.383676876,0,1
1231,2326291,421.2646106,941.9763057,19.65274811,73066216.0,1.169025558,1.324070868,2458223.637,201.9798699,0.708174775,0,2
1232,3261402,211.1324448,472.1064988,23.39456508,74278784.0,0.512780539,1.590004662,2457952.295,221.2242988,0.914232592,0,2
1233,3781300,130.0034796,290.6966177,12.89999183,40283848.0,0.619527627,1.438963721,2458173.792,196.4301731,0.94389894,0,1
1234,3596035,26.58,59.43468684,2.099422746,7226497.0,0.958622972,1.170242899,2458043.489,321.4180854,0.897483799,0,0
1235,2483408,334.6223745,748.2383761,15.82728555,64027608.0,1.276695425,1.752542799,2457670.606,174.4306764,0.528748228,0,2
1236,2342866,253.8370294,567.5968529,14.0355475,22088068.0,0.621775389,2.452354049,2458236.157,238.115927,0.517208725,1,2
1237,3612847,58.15070396,130.028927,15.88836561,66764648.0,0.995627696,1.214991863,2458139.404,242.1868714,0.848160524,0,1
1238,3748549,73.20739893,163.6967205,28.54745539,33683228.0,0.266269309,2.075005684,2457555.396,312.6126625,0.778162732,0,1
1239,3742877,127.2198785,284.4722965,15.69517587,37795612.0,1.087806745,2.354934159,2458195.913,274.7200612,0.436407854,0,1
1240,3760958,88.01465209,196.8067451,5.455467094,67382248.0,0.99125811,1.453326112,2457795.707,149.3676755,0.72935936,0,1
1241,3427795,152.9519353,342.0109247,24.03577289,57852628.0,0.670891689,1.597109567,2458148.587,239.1347934,0.816176585,0,2
1242,3742338,4.619074603,10.32856481,7.749780606,32290426.0,0.82478447,0.991615911,2457898.256,116.4316123,1.138758655,0,0
1243,2417217,319.5618867,714.5621017,13.46590802,33459582.0,0.319689348,1.102451592,2457989.861,17.48725735,1.643747515,1,2
1244,3465951,76.65755735,171.4115092,8.165774369,9655597.0,0.861339141,1.257627133,2457936.045,58.2532115,0.903780571,0,1
1245,3251512,146.0679643,326.6178974,7.322929427,43645784.0,0.596529122,1.242724364,2457900.878,111.3375957,1.117600752,0,1
1246,3634154,14.60679643,32.66178974,9.254186577,51008224.0,0.59588803,1.075327856,2457890.534,141.8922784,1.290328336,0,0
1247,3748479,15.29519353,34.20109247,19.2480859,72138360.0,0.821533663,1.095330435,2457959.215,43.36660842,1.050417824,0,0
1248,3653605,6.991252323,15.63291544,9.266781505,341621.3438,0.898009452,2.116898613,2457920.433,42.63731271,0.532522494,0,0
